Country,City,LevelOfCrime,CrimeIncrIn3years,HomeBroken,MuggedOrRobbed,CarStolen,ThingsFromCarStolen,Attacked,Insulted,AttackCauseEGR,Drugs,VandalismAndTheft,ViolentCrimes,CorruptionAndBribery,SafetyDaylight,SafetyNight,Contributors,Update,cindex,sindex,latitude,longitude
Italy,Naples,60.78,49.66,46.85,56.87,55.13,58.74,46.95,49.22,28.26,60.05,61.49,56.75,74.08,57.02,33.86,205,March 2020,55030,44970,40.835934,14.248783
India,Jaipur,37.96,54.78,42.13,34.11,37.48,37.96,34.11,23.4,15.43,27.66,39.88,29.98,61.17,85.07,63.92,53,February 2020,35469,64531,26.916194,75.820349
Ireland,Dublin,55.06,68.8,47.34,45.06,37.1,47.59,47.18,48.9,28.64,71.1,57.66,47.33,46.23,70.3,44.59,499,March 2020,49601,50399,53.349765,-6.260273
Germany,Karlsruhe,41.03,75.35,26.33,49.86,19.46,31.85,53.78,49.49,19.9,32.65,36.62,46.35,12.76,70.53,41.03,52,February 2020,39172,60828,49.014068,8.404437
United States,Buffalo| NY,51.06,54.26,39.89,40.22,36.17,57.61,35.87,35.47,26.16,55.95,53.8,44.68,54.76,77.66,51.06,47,February 2020,44665,55335,42.920374,-78.86806
United States,Philadelphia| PA,73.55,65.48,51.39,57.68,45.8,62.5,56.45,60.45,42.36,74.16,66.73,67.86,62.92,64.92,33.01,129,February 2020,60971,39029,40.012493,-75.043329
India,Kochi,39.3,53.88,40.42,40.36,37.56,39.35,40.64,41.04,29.17,43.28,47.16,37.38,64.55,66.38,50.06,73,February 2020,42132,57868,9.963386,76.253661
Croatia,Split,30.98,62.63,23.4,23.4,22.07,30.91,26.86,29.44,29.62,47.25,37.23,27.93,79.12,85.79,67.89,96,February 2020,34066,65934,43.511556,16.43968
Australia,Melbourne,46.32,68.2,41.52,38.41,34.23,40.41,42.6,44.65,29.61,55.81,52.99,45.74,35.6,72.27,42.71,669,March 2020,44338,55662,-37.814218,144.963161
Canada,Nanaimo| BC,53.58,74.26,41.95,29.09,33.47,48.38,32.03,33.93,14.73,74.11,60.91,38.98,30.91,75.57,51.02,58,February 2020,43935,56065,49.3103,-124.325539
Australia,Gold Coast,46.56,65.14,41.3,37.6,35.24,45.19,40.52,44.06,28.47,66,54.34,45.14,34.21,75.33,43.85,108,March 2020,44571,55429,-28.002373,153.414599
Turkey,Antalya,25.31,48.92,28.61,27.67,24.84,33.66,31.91,29.69,19.79,28.65,30.97,26.73,42.93,87.1,71.6,54,February 2020,28918,71082,36.900878,30.693712
Israel,Haifa,21.54,49.26,28.69,14.48,23.13,32.75,18.69,27.27,20.45,32.95,34.45,18.28,41.11,89.8,73.69,47,February 2020,26038,73962,32.819122,34.998386
Italy,Rome,53.86,70.22,55.01,49.99,52.13,59.53,42.52,44.56,32.6,56.35,62.73,44.53,76.65,71.93,45.02,266,March 2020,52438,47562,41.894802,12.485338
United States,New Orleans| LA,78.67,63.31,60.71,64.29,55.52,63.31,61.04,54.79,41.78,71.23,69.08,70.07,68.06,55.92,25.97,77,February 2020,64548,35452,29.949932,-90.070116
United States,Atlanta| GA,73.79,69.78,59.59,58.89,54.51,67.11,55.74,57.56,48.46,70.9,69.81,66.54,58.27,63.52,27.57,137,March 2020,62791,37209,33.749099,-84.390185
United States,Madison| WI,34.91,64.09,29.09,25,25,36.11,27.73,24.5,18.5,38,39.55,32.73,21.5,85.19,66.82,55,February 2020,31442,68558,43.10423,-89.287532
Philippines,Manila,73.53,62.06,61.04,68.15,59.34,61.68,61.22,54.34,38.65,69.93,71.02,70.02,82.39,55.52,29.59,324,February 2020,64431,35569,14.590622,120.97997
Croatia,Rijeka,14.18,39.93,22.39,15.3,11.19,21.27,14.55,19.84,12.3,28.12,30.22,14.18,61.9,92.8,80.97,67,February 2020,21174,78826,45.326936,14.440984
Israel,Jerusalem,36.09,52.04,33.98,25.65,33.43,37.31,41.32,37.85,47.54,30.07,35.65,30.32,40.97,73.65,62.98,76,February 2020,36339,63661,31.778345,35.225079
France,Toulouse,51.62,72.86,43.13,46.8,38.58,48.17,45.83,53.21,27.46,54.29,54.61,39.07,28.85,76.57,39.75,74,March 2020,46553,53447,43.604462,1.444247
Mexico,Monterrey,63.05,56.52,44.89,59.07,42.34,54.56,43.43,30.58,14.96,49.81,56.07,64.23,74.81,77.9,34.96,139,March 2020,51033,48967,25.639784,-100.293102
Ireland,Galway,28.54,56.87,30.86,21.99,19.37,31.87,27.82,34.15,15.49,44.72,39.3,23.09,29.41,87.62,60.59,75,February 2020,30138,69862,53.274412,-9.049063
Ukraine,Kiev (Kyiv),50.71,68.5,49.51,42.93,45.94,56.14,39.62,35.75,24.42,40.41,53.54,38.77,83.55,79.5,47.46,358,February 2020,47309,52691,50.450107,30.52405
Turkey,Bursa,25.83,40.02,29.83,27.67,22.71,27.39,27.39,25.33,19.41,29.28,30.59,21.81,34.21,84.77,68.41,81,February 2020,27056,72944,40.182706,29.066764
Malaysia,Johor Bahru,60.2,57.06,60.03,58.19,60.97,62.53,48.47,39.67,35.33,47.8,63.19,56.28,65.45,57.14,31.08,96,February 2020,55726,44274,1.495304,103.755084
Spain,Bilbao,53.54,75.85,52.12,53.48,48.24,52.65,53.04,52.83,45.28,61.06,56.22,50.83,64.15,51.28,37.9,58,February 2020,55129,44871,43.262949,-2.934946
Switzerland,Zurich,10.65,51.7,15.85,10.58,8.23,13.96,15.58,18.04,13.19,30.2,24.53,11.23,14.69,89.64,79.19,190,March 2020,17112,82888,47.372396,8.542322
Philippines,Quezon City,70.03,62.88,59.21,70.35,61.07,64.78,63.28,50.42,25.85,67.62,72.01,68.04,84.32,58.52,35.5,65,March 2020,62700,37300,14.650991,121.048616
Spain,Valencia,17.73,53.59,23.14,21.2,16.09,29.68,17.56,21.65,9.85,38.13,36.38,17.32,59.85,91.1,76.3,104,February 2020,25308,74692,39.469901,-0.375951
United Kingdom,Aberdeen,35.99,52.91,33.93,32.86,28.77,33.93,33.31,35.38,19.34,54.72,46.95,32.08,25,76.55,54.77,55,February 2020,35637,64363,57.148228,-2.092678
Ukraine,Lviv,42.16,65.54,44.27,38.98,34.66,49.57,37.17,32.3,25.22,37.84,49.35,32.11,83.41,82.14,56.51,119,February 2020,42250,57750,49.841952,24.031592
Ireland,Drogheda,64.98,74.31,55.24,56.84,52.63,54.58,58.53,55.73,40.74,71.06,65.69,61.04,57.41,51.08,32.43,114,February 2020,59719,40281,53.714512,-6.349355
South Africa,Durban,87.84,85.07,84.86,83.33,81.83,79.86,78.69,63.59,65.28,73.44,82.27,88.01,91.83,34.62,11.25,222,February 2020,80924,19076,-29.861825,31.009909
Germany,Frankfurt,46.16,60.54,35.65,38.78,29.82,38.32,42.09,46.69,26.24,58.26,49.43,39,30.17,71.73,49.83,129,February 2020,41877,58123,50.110644,8.682092
Spain,Seville (Sevilla),24.62,53.32,29.17,29.25,25.99,40.08,20.53,25,14.62,40.57,44.17,22.35,51.96,86.24,67.93,56,February 2020,30394,69606,37.38863,-5.995317
Saudi Arabia,Jeddah (Jiddah),23.69,48.38,27.65,29.54,33.27,41.29,26.17,35.58,23.06,33.13,33.33,26.19,47.2,82.04,65.57,137,February 2020,31074,68926,21.441667,39.108333
Canada,Vaughan,38.76,67.02,56.15,40.18,39.62,41.84,35.98,28.05,23.21,47.09,45.73,35.73,34.09,80.18,55.61,48,February 2020,39716,60284,43.820904,-79.5084
China,Beijing,29.72,47.66,32.69,30.83,30.13,35.09,31.61,37.5,28.56,31.53,38.7,29.84,59.12,71.64,62.18,261,February 2020,34624,65376,39.905963,116.391248
Netherlands,Amsterdam,32.71,53,30.76,28.97,23.69,37.86,27.09,30.73,25.55,46.75,40.88,28.87,22.21,80.69,63.63,245,March 2020,32363,67637,52.37454,4.897976
Saudi Arabia,Ad Dammam,28.16,60.02,28.98,28.51,29.45,40.3,28.98,32.84,30.39,29.41,35.58,28.51,47.06,77.57,63.41,53,February 2020,33149,66851,26.436782,50.103999
Canada,Montreal,26.13,48.18,27.23,22.56,22.48,36.1,21.78,23.89,14.25,43.37,40.07,24.67,50.54,90.02,70.86,493,March 2020,28978,71022,45.497216,-73.610364
Canada,Red Deer,71.59,84.66,63.94,47.61,69.16,79.16,45.66,44.79,19.79,77.13,80.66,54.16,36.7,69.16,30.77,50,February 2020,59898,40102,52.269838,-113.818359
Belgium,Brussels,55.37,64.09,49.3,52.13,40.18,56.07,51.16,53.34,38.71,54.01,64.8,47.64,35.93,67.81,38.26,235,March 2020,51024,48976,50.846557,4.351697
United States,San Diego| CA,38.89,53.91,35.38,30.62,37.79,45.96,29.23,29.64,18.15,50,46.71,33.53,35.86,83.08,56.92,130,February 2020,36674,63326,32.690461,-117.152486
Romania,Iasi,23.1,35.16,21.56,26.9,16.02,37.01,26.35,29.17,16.18,21.39,37.43,14.99,73.51,87.43,61.17,89,March 2020,28022,71978,47.161494,27.58405
Canada,Winnipeg,68.88,73.43,52.53,50.3,47.47,64.49,49.87,49.76,32.89,70.87,67.36,59.56,42.2,65.27,31.98,219,February 2020,57066,42934,49.884017,-97.168579
Brazil,Recife,93.04,80.38,57.69,88.61,73.1,75.97,69.62,50.33,25.33,75.66,82.59,91.77,93.92,31.41,6.96,80,February 2020,76807,23193,-8.064193,-34.878152
Argentina,Buenos Aires,72.76,72.88,52.99,69.36,56.49,63.75,54.99,43.34,16.08,61.78,68.09,70.03,86.14,60.73,28.26,463,February 2020,61483,38517,-34.607562,-58.437076
New Zealand,Christchurch,41.56,60.46,41.65,24.98,30.75,40.36,34.22,34.94,22.41,49.72,54.06,39.77,25.29,74.16,44.34,93,February 2020,39105,60895,-43.530955,172.636646
United States,Charlotte| NC,53.88,67.67,42.98,40.25,34.05,48.73,37.71,36.11,24.54,50,55.7,47.88,37.26,79.24,51.69,59,February 2020,44329,55671,35.60013,-82.546941
United States,San Jose| CA,50,68.08,47.69,40.62,42.46,55.47,36.15,37.92,23.75,55.51,57.03,44.14,26.72,78.46,53.08,65,February 2020,44353,55647,39.78373,-100.445882
India,Coimbatore,32.71,46.41,47.75,40.16,40.89,42.84,33.61,34,25.98,38,41.64,35.63,64,80.78,61.59,58,February 2020,38039,61961,11.001812,76.962843
United States,Sacramento| CA,59.29,68.84,44.93,42.81,43.92,56.42,40.07,45,31.07,62.86,55.82,47.97,36.43,70,40.54,75,February 2020,49616,50384,38.596046,-121.476514
United States,Miami| FL,57.92,64.09,48.77,49.38,46.28,56.62,46.49,45.47,29.74,63.25,57.44,55.94,62.17,67.28,42.77,126,February 2020,52315,47685,25.78056,-80.171209
United Kingdom,Bradford,56.13,56.9,54.04,53.12,51.26,57.75,51.73,53.57,44.27,67.86,60.06,49.41,59.62,56.12,32.08,57,February 2020,55281,44719,53.794157,-1.749478
Poland,Katowice,40.07,40.07,32.18,39,33.93,42.13,40.79,42.13,43.64,40,52.35,27.79,46.76,76.48,49.28,57,March 2020,39719,60281,50.259899,19.021585
Ecuador,Guayaquil,75.07,71.64,57.91,75.07,58.41,74.09,55.95,43.23,15.82,64.06,70.66,72.13,85.2,53.99,19.19,51,February 2020,64482,35518,-2.170414,-79.905024
Norway,Bergen,23.53,63.72,24.98,23.93,15.48,26.39,29.56,26.84,19.12,50.76,38.72,24.63,25,82.73,64.77,71,February 2020,28954,71046,60.394353,5.325551
United Arab Emirates,Sharjah,16.83,42.89,12.31,15.02,12.57,17.36,16.83,11.67,10.56,20.93,14.17,14.48,17.22,89.7,73.25,48,February 2020,17268,82732,25.358543,55.389532
United States,Albuquerque| NM,84.4,82.8,70.68,60,71.3,78.27,58.41,57.14,37.98,84.76,85.32,73.18,65.93,56.59,22.05,110,March 2020,70608,29392,35.067498,-106.493993
Romania,Cluj-Napoca,13.43,39.03,16.46,16.05,9.99,24.5,15.8,23.32,11.14,19.8,27.68,9.7,59.06,91.5,75.85,207,February 2020,20322,79678,46.769337,23.59006
United States,Phoenix| AZ,61.88,64.14,55.99,41.53,48.95,59.45,41.88,43.2,33.55,65.3,61.55,54.34,43.81,71.28,38.22,122,February 2020,52343,47657,33.455304,-112.179943
United States,Orlando| FL,62.05,63.82,53.32,49.12,44.47,56.86,48.46,42.13,28.7,61.81,60.94,55.92,42.62,69.08,38.6,114,February 2020,52155,47845,39.78373,-100.445882
United States,Dallas| TX,55.12,63.49,46.63,42.52,40.48,61.4,45.47,46.9,40.91,58.47,54.56,50.6,46.88,73.62,40.94,127,March 2020,49948,50052,32.987122,-96.985265
Germany,Berlin,42.24,68.83,36.85,38.15,30.86,36.98,40.19,46.51,30.97,57.12,52.42,36.65,30.16,78.97,54.96,448,March 2020,41087,58913,52.517037,13.38886
India,Indore,67.44,65.83,56.32,54.99,50.2,52.29,54.37,54.79,35.11,51.06,67.39,57.49,74.47,59.2,39.7,50,March 2020,57514,42486,22.720385,75.86821
Canada,Toronto,42.01,62.1,34.44,35.24,28.74,38.65,34.7,38.47,23.68,51.04,44.72,41.17,34.28,78.1,56.63,748,February 2020,38737,61263,43.653963,-79.387207
Brazil,Campinas,80.82,69.18,58.68,79.17,76.79,78.77,55.14,32.97,18.18,67.75,76.71,81.08,84.42,55.82,20.21,74,February 2020,67369,32631,-22.90556,-47.06083
United States,Cincinnati| OH,62.5,64.89,41.67,41.15,29.79,52.6,37.23,51.11,35.33,70.65,59.38,50.52,36.11,75.51,36.73,49,February 2020,49746,50254,39.101892,-84.510669
Australia,Hobart,27.92,57.76,34.17,28.49,27.45,36.28,31.61,43.48,21.74,43.12,42.38,31.61,31.72,78.14,55.92,72,March 2020,34089,65911,-42.882509,147.328123
Thailand,Chiang Mai,17.96,53.4,23.85,15.9,17.72,19.46,14.31,12.5,9.64,29.22,22.71,22.71,69.35,94.49,80.21,93,February 2020,22938,77062,18.790562,98.988091
Finland,Tampere,20.05,65.83,18.28,18.28,14.65,20.65,22.65,24.49,11.73,27.55,28.57,14.85,17.35,92.65,72.2,51,February 2020,22364,77636,61.498021,23.760312
China,Guangzhou,36.67,52.27,38.08,39.19,36.67,43.99,37.24,44.21,35.71,36.9,43.99,34.29,57.35,63.78,53.11,90,February 2020,40765,59235,23.130196,113.259295
Canada,Moncton,48.6,69.44,40.47,31.79,26.69,47.1,34.86,35.87,18.48,61.7,47.61,39.23,35.56,79.75,54.75,49,March 2020,41182,58818,46.097995,-64.80011
France,Paris,55.68,68.83,48.86,54.5,42.1,51.73,52.64,58.98,42.58,56,62.95,48.53,42.74,65.88,43.87,464,March 2020,52219,47781,48.85661,2.351499
United States,Chicago| IL,76.93,68.75,55.68,63.38,52.37,62.5,59.76,58.1,45.3,67.95,66.52,69.34,70.47,58.99,27.42,336,February 2020,63794,36206,41.875555,-87.624421
Canada,London,49.66,71.83,45.88,39.6,38.63,52.88,37.65,45.07,30.07,67.76,57.9,45.56,43.67,72.78,47.46,79,February 2020,47367,52633,42.988576,-81.246643
United States,Seattle| WA,51.62,71.45,45.2,38,43.09,61.58,39.78,49.87,23.2,67.78,59.53,42.33,31.68,75.25,47.3,208,February 2020,47400,52600,47.649062,-122.3473
Canada,Oakville,24.26,69.72,37.21,25.14,27.37,28.78,22.42,20.83,20.75,35.65,36.96,24.7,21.3,82.34,69.2,60,March 2020,28945,71055,43.447436,-79.666672
Belgium,Antwerp,37.71,54.51,35.3,30.69,24.5,42.31,33.88,33.93,23.21,51.47,42.89,25.36,26.52,83.96,57.85,90,February 2020,35052,64948,51.22111,4.399708
Germany,Hamburg,45.51,53.6,44.65,44.42,32.69,43.68,45.77,48.23,24.18,54.64,54.04,44.13,37.36,66.71,46.87,195,March 2020,44138,55862,53.550341,10.000654
Pakistan,Islamabad,25.65,37.86,29.78,30.71,34.44,29.98,21.2,20.12,13.03,33.26,33.99,28.31,57.48,82.66,65.33,230,February 2020,29360,70640,33.666667,73.166667
United Arab Emirates,Abu Dhabi,5.77,35.38,9.21,7.42,6.77,11.01,8.32,12.35,9.4,14.1,10.5,8.67,20.62,92.39,85.77,263,March 2020,11347,88653,23.997644,53.64391
Russia,Nizhny Novgorod,31.45,34.68,25.81,28.23,26.21,33.61,31.05,28.23,21.37,35.48,34.68,24.6,47.98,81.05,64.34,62,March 2020,30641,69359,56.328571,44.003506
Canada,Brampton,62.95,73.79,56.3,55.11,46.8,52.84,53.35,47.83,37.4,67.1,58.01,56.21,46.01,62.97,35.2,408,February 2020,55378,44622,43.685815,-79.759934
United Kingdom,Glasgow,52.3,46.06,38.04,39.33,29.63,36.97,45.16,50.32,30.41,65.61,55.16,46.8,26.92,73.01,44.36,166,February 2020,44114,55886,55.856656,-4.243582
Netherlands,The Hague (Den Haag),26.68,47.31,25.7,23.37,19.09,28.68,22.71,27.78,20.83,29.86,29.02,18.68,19.86,86.68,64.82,76,February 2020,25966,74034,52.074946,4.26968
Canada,Edmonton,49.62,64.07,36.28,32.42,34.03,49.5,34.19,36.67,20.28,59.23,56.01,41.36,30.62,77.42,47.61,225,February 2020,42264,57736,53.535411,-113.507996
United States,Spokane| WA,59.78,80.85,56.91,37.77,50,70.11,38.59,53.41,23.3,75.57,73.37,47.28,36.36,76.6,43.62,47,February 2020,53096,46904,47.631737,-117.606883
Pakistan,Lahore,38.85,36.2,37.08,42.49,43.22,39.56,27.8,25.95,16.17,40.46,44.79,44.51,73.78,77.27,56.77,202,March 2020,38501,61499,31.519582,74.326297
Ukraine,Dnipro,57.42,67.76,52.29,48.3,51.66,66.55,50.65,45.77,22.54,47.18,58.54,41.77,81.43,72.03,39.99,76,March 2020,52628,47372,48.468022,35.041771
Ukraine,Odessa (Odesa),55.86,72.95,52.27,51.82,46.87,65.88,47.7,44.84,23.12,51.36,63.91,40.46,87.9,72.72,43.43,99,March 2020,52971,47029,46.484658,30.732564
Finland,Oulu,30.05,66.8,31.62,31.62,30.8,32.54,32.69,42.31,25,44.23,48.28,26.52,22.6,76.99,64.49,54,February 2020,34334,65666,65.011873,25.471681
Canada,Quebec City,9.62,38.59,12.95,10.07,10.71,17.77,9.37,12.12,10.96,21.68,20.92,13.23,27.15,94.15,85.58,139,February 2020,14979,85021,46.82596,-71.235223
United Kingdom,Liverpool,53.05,57.22,45.81,38.03,39.58,42.5,39.29,43.68,26.86,66.32,53.94,43.83,32.18,73.13,52.17,99,February 2020,44888,55112,53.405472,-2.980539
Spain,Madrid,25.22,52.97,26.94,29.26,23.33,34.85,21.85,25.31,18.98,38.35,38.76,22.44,57.48,86.63,70.32,341,February 2020,29955,70045,40.416705,-3.703582
Switzerland,Bern,10.74,45.26,16.65,16.65,8.46,15.46,13.64,16.52,16.96,32.59,31.2,11.91,14.29,90.79,78.29,61,February 2020,17808,82192,46.948271,7.451451
Argentina,Cordoba,67.76,75.39,56.77,63.63,48.94,60.2,47.5,31.12,17,57.65,67.69,64.33,76.53,70.1,36.44,52,February 2020,56676,43324,-27.777716,-67.235317
Argentina,Rosario,84.4,85.2,63.14,80.51,55.79,71.47,63.14,32.14,13.27,82.29,78.4,81.28,84.69,48.4,15.1,51,February 2020,69472,30528,-32.9595,-60.661541
Germany,Hanover,49.38,72.09,36.9,41.69,28.64,38.96,47.98,48.11,34.5,53.85,52.22,38.75,24.52,73.96,45.7,55,February 2020,43923,56077,52.374478,9.738553
South Africa,Pretoria,88.14,84.45,82.35,85.08,80.26,82.2,78.74,68.11,74.9,73.47,82.02,89.16,90.57,34.28,10.45,257,February 2020,81824,18176,-25.745937,28.187944
United States,Portland| OR,54.32,75.54,45.11,35.14,42.39,64.75,39.31,51.15,25.19,66.86,63.59,44.16,35.91,75,46.94,141,February 2020,48831,51169,45.533025,-122.578964
New Zealand,Auckland,47.01,64.98,47.89,40.78,42.96,51.37,40.5,45.46,32.93,57.15,54.76,43.58,26.51,71.37,42.91,348,February 2020,45625,54375,-36.853466,174.765551
Australia,Canberra,15.74,38.97,20.99,12.99,13.14,20.85,16.92,20.88,12.5,29.88,27.59,17.44,16.77,86.58,68.22,180,February 2020,20079,79921,-35.297591,149.101268
India,Chennai,40.67,56.47,44.72,41.72,35.75,38.01,37.28,38.69,22.78,35.68,46.86,38.14,74.19,81.59,53.56,307,March 2020,41009,58991,13.080172,80.283833
Mexico,Merida,20.35,57.56,36.9,25.29,18.9,27.91,20.88,14.81,10.8,25.93,36.63,24.71,52.78,91.86,79.07,86,February 2020,26072,73928,19.424636,-99.158836
China,Shenzhen,30.53,43.05,27.59,31.53,28.35,33.41,29.77,33.67,25.76,32.83,36.08,28.07,57.73,71.52,59.63,103,February 2020,33428,66572,22.54457,114.054535
Sweden,Malmo,60.48,69.15,46.48,54.4,44.52,53.23,54.27,52.49,50.73,57.34,57.31,56.93,38.95,60.83,39.57,460,February 2020,53932,46068,55.605293,13.000157
Poland,Lodz,44.89,42.79,39.6,40.98,35.86,43.39,47.3,49.05,47.5,32.69,56.26,35.43,44.14,69.95,45.55,84,February 2020,43186,56814,51.768732,19.456991
Poland,Gdansk,26.65,40.33,24.35,28.7,25.79,30.1,30.96,32.32,29.46,29.52,42.07,22.34,44.51,81.53,58.83,88,February 2020,30591,69409,54.347628,18.645203
Germany,Dresden,24.85,60.26,27.4,23.29,29.01,23.25,34.03,33.51,33.15,32.45,34.22,22.24,23.89,80.06,64.14,49,February 2020,29826,70174,51.049329,13.738144
Poland,Warsaw,21.14,35.9,22.39,22.5,23.81,29.72,25.89,29.48,31.11,24.76,42.65,15.99,44.07,87.78,66.48,434,March 2020,26908,73092,52.231924,21.006727
Turkey,Istanbul,51.5,68.5,43.79,45.04,33.13,45.41,47.39,49.93,32.03,42.72,46.25,40.85,69.9,70.55,40.88,789,March 2020,47530,52470,41.009633,28.965165
Mexico,Cancun,52.78,73.15,56.02,53.64,46.82,51.82,45.91,34.31,24.51,57.35,54.55,50.45,70.1,69.91,52.73,56,February 2020,50255,49745,19.301982,-99.221511
United States,Indianapolis| IN,69.53,80.86,56.25,52.42,51.17,64.52,48.79,45,26.25,65,66.27,63.89,41.67,69.92,32.81,64,February 2020,56938,43062,39.768333,-86.15835
United States,Nashville| TN,57.56,74.47,44.68,46.28,36.17,51.6,42.02,43.6,22.67,60.47,59.57,54.79,40.48,77.66,46.28,47,February 2020,48561,51439,36.110472,-86.716516
United States,Memphis| TN,87.26,72.22,69.44,71.3,63.43,77.31,67.59,69.12,64.42,84.31,80.56,79.17,65.2,43.52,18.98,54,February 2020,74315,25685,35.076078,-89.863739
Romania,Brasov,17.31,34.45,24,18.2,12.43,30.59,17.43,24.6,8.73,17.74,25.88,12.24,59.92,89.67,75.12,67,March 2020,21962,78038,45.652309,25.610275
Poland,Krakow (Cracow),24.79,43.32,21.62,22.54,21.49,28.63,28.32,31.15,34.46,24.04,41.25,19.27,41.76,84.96,65.42,194,March 2020,28344,71656,50.060674,19.937139
Switzerland,Basel,16.14,48.85,18.16,15.61,9.31,14.43,18.92,21.83,15.62,33.2,24.61,13.24,12.11,88.95,73.86,68,March 2020,19500,80500,47.558108,7.587826
Spain,Malaga,21.39,37.2,24.51,22.92,18.65,31.55,17.87,18.85,11.07,31.67,32.33,18.95,40.98,83.89,67.09,64,February 2020,24691,75309,36.721303,-4.421637
India,Mumbai,46.3,52.26,39.76,39.79,38.07,44.34,37.35,38.12,28.85,40.76,47.39,38.44,74.88,76.63,57.97,449,March 2020,42606,57394,18.938754,72.835238
United States,Columbus| OH,50.85,63.75,33.33,38.98,35.59,48.33,31.25,41.36,29.09,55.91,50.86,43.22,33.64,75.41,50.41,61,February 2020,43061,56939,39.979506,-83.062631
United States,New York| NY,48.05,50.43,37.17,44.79,36.12,44.94,42.28,49.85,33.99,55.6,52.1,48.02,51.46,75.29,53.09,353,March 2020,44854,55146,40.737233,-73.862477
India,Mangalore,25.59,33.05,23.15,20.55,21.16,19.7,25.93,22.56,24.25,26.11,24.88,24.51,36.21,79.92,71.27,145,February 2020,25155,74845,12.86981,74.843008
United Kingdom,Manchester,61.37,68.79,53.71,52.73,44.23,52.42,54.33,55.54,36.56,68.46,62.66,52.41,30.69,67.36,35.04,157,February 2020,53779,46221,53.47913,-2.244101
India,Ahmedabad,27.58,49.01,36.57,30.95,30.91,35.49,28.66,28.6,22.54,21.15,34.3,27.96,63.87,85.23,72.79,145,February 2020,31455,68545,23.021624,72.579707
Poland,Wroclaw,24.67,40.83,24.17,25.53,24.84,31.71,28.29,29.5,33.33,27.86,45.02,17.82,43.04,86.17,61.17,150,March 2020,29330,70670,51.108978,17.032669
Canada,Regina,67.85,61.32,57.25,52.37,51.97,66.12,51.97,47.88,34.75,69.58,71.36,57.93,31.47,63.09,30.94,65,February 2020,56676,43324,50.44876,-104.61731
United States,San Antonio| TX,56.17,68.15,46.95,35.37,44.51,58.84,37.65,37.5,25.65,53.57,56.48,50.91,40.88,76.51,48.17,84,February 2020,47076,52924,31.816038,-99.512099
Russia,Saint Petersburg,38.5,43.27,27.27,34.92,41.64,43.86,36.99,35.81,26.53,43.56,46.4,28.91,74.49,81.35,52.68,299,March 2020,39125,60875,59.938732,30.316229
Netherlands,Rotterdam,40.37,43.35,34.24,29.23,26.56,36.61,33.26,37.5,26.39,45,48.85,34.5,23.03,79.14,56.25,95,March 2020,35544,64456,51.927798,4.488623
India,Pune,38.12,59.6,37.56,37.56,32.59,36.29,37.5,39.9,26.96,34.74,41.77,35.67,69.2,78.55,56.25,209,March 2020,39347,60653,18.520306,73.854319
Brazil,Sao Paulo,83.7,73.38,55.44,79.27,72.3,74.16,57.39,43.99,26.51,74.43,77.83,84.87,91.49,46.79,15.44,546,March 2020,70584,29416,-29.275632,-51.736618
Mexico,Puerto Vallarta,34.18,59.22,35.19,31.49,27.21,36.03,24.03,17.68,10.31,35.1,42.23,33.41,61.34,88.57,63.57,105,February 2020,33155,66845,20.698208,-105.181524
Sweden,Lund,32.37,55.38,35.76,33.86,26.28,33.88,32.47,32,30.41,34.72,43.59,33.33,28.72,72.78,62.34,79,February 2020,34258,65742,55.70293,13.192945
United Kingdom,Belfast,45.49,43.09,38.2,29.05,36,40,38.62,40.8,40.23,53.12,50.43,37.93,29.89,83.04,52.33,92,March 2020,39909,60091,54.596987,-5.930099
Ukraine,Kharkiv,50.38,70.34,44.13,42.91,40.1,52.51,44.96,39.34,22.79,54.23,54.43,43.56,83.15,76.94,47.23,144,February 2020,48201,51799,49.991425,36.272266
Sweden,Stockholm,48.68,68.57,40.61,42.66,35.42,43.57,43.59,40.7,37.17,48.63,51.6,46.8,30.1,70.38,48.71,507,March 2020,44492,55508,59.325117,18.071094
Brazil,Salvador,89.38,85.42,52.08,86.81,75.35,75,63.38,51.87,30.6,78.62,79.45,90.49,90.58,29.86,9.93,73,February 2020,75765,24235,-12.98225,-38.481277
Mexico,Puebla,70,85.42,64.58,76.04,61.17,71.88,61.98,51.74,39.53,59.3,75,72.28,79.65,57.29,30.73,48,February 2020,65915,34085,18.833333,-98
India,Navi Mumbai,33.61,43.24,37.06,34.65,35.38,34.54,35.1,36.01,27.38,34.82,36.92,32.85,48.21,75.27,68.24,89,February 2020,34911,65089,19.030826,73.019854
Ecuador,Quito,66.04,70.03,48.42,63.52,52.86,60.3,47.78,38.82,22.81,53.04,57.16,62.89,78.73,61.53,25.91,122,March 2020,56885,43115,-0.220164,-78.512327
United Kingdom,Cambridge,19.48,51.25,22.99,19.05,15.51,21.76,15.72,25,11.63,36.63,32.38,14.37,11.05,89.29,72.44,46,February 2020,22003,77997,52.203482,0.123582
India,Visakhapatnam,37,59.54,42.15,40.31,28.64,32.71,35.63,32.32,23.17,30.95,43.09,31.83,64.29,74.22,57.37,48,February 2020,37885,62115,17.723128,83.301284
Canada,Oshawa,51.8,65.93,39.3,44.07,35.18,54.62,45.28,43.6,19.19,74.39,56.84,49.07,35.47,67.02,36.04,46,February 2020,47958,52042,43.91768,-78.862953
